localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Paraná	Hotel Coé Verá		8,8	Precio $ 116.057	+ $ 24.372 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	AP138 Departamento micro centro Parana 3b	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 35m²	9,3	Precio original $ 172.234. Precio actual $ 146.405.	+ $ 30.745 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Familiar 10 camas 3 hab 1,5 baños, excelente	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 90m²	NA	Precio original $ 146.924. Precio actual $ 117.539.	Incluye impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Howard Johnson Plaza Resort & Casino Mayorazgo		8,6	Precio $ 359.813	+ $ 75.561 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Casa sustentable	Casa o chalet entero, 2 dormitorios, 1 baño, 200m²	NA	Precio $ 117.539	Incluye impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Departamento Peatonal II	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,7	Precio original $ 128.404. Precio actual $ 110.060.	+ $ 23.113 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Apart Uruguay	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 100m²	9,4	Precio $ 153.450	+ $ 32.224 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Departamento Completamente Amoblado Hasta para 5 Personas	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 10m²	8,1	Precio $ 103.711	+ $ 1.235 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Frente al Río	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	8,7	Precio $ 148.158	+ $ 31.113 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Moreno Suites	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 32m²	8,4	Precio $ 135.812	+ $ 28.520 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Departamento luminoso de buena ubicación en Paraná	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 cocina, 40m²	9,5	Precio $ 152.039	+ $ 31.928 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	El Puerto Apart	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 24m²	7,9	Precio $ 251.693	+ $ 52.855 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Las Cañas	Apartamento entero, 3 dormitorios, 2 baños, 90m²	NA	Precio $ 246.931	Incluye impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Departamentos Carbó	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 10m²	8,8	Precio $ 98.772	+ $ 20.742 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Suites con baño privado		8,0	Precio $ 69.141	+ $ 14.520 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Confortable estudio con vista al Rio Parana.	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	10	Precio $ 125.935	+ $ 26.446 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	HABITACIÓN DOBLE INDEPENDIENTE CON BAÑO PRIVADO en CASA PARTICULAR	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 15m²	8,8	Precio $ 113.429	+ $ 29.492 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	AP138 Departamento micro Centro Paraná	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	9,6	Precio original $ 155.213. Precio actual $ 131.931.	+ $ 27.706 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Amplio departamento de dos habitaciones		9,3	Precio original $ 123.465. Precio actual $ 104.945.	+ $ 22.039 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Departamento completo 2 Habitaciones	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 80m²	9,2	Precio $ 229.645	+ $ 48.226 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	BALCÓN AL RíO PARANÁ	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 50m²	9,7	Precio $ 220.386	Incluye impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Amplio Departamento en el corazón de Paraná	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	9,6	Precio $ 161.166	+ $ 33.845 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
Paraná	Parana Suite Alem	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,6	Precio $ 167.913	+ $ 35.262 de impuestos y cargos	14 noches, 2 adultos	Entre Rios	2023-1-1	2023-1-15
