localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Paraná	Departamento moderno totalmente equipado en centro de Paraná	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 38m²	8,9	Precio $ 56.177	+ $ 11.797 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Hotel Coé Verá		8,8	Precio $ 107.768	+ $ 22.631 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Familiar 10 camas 3 hab 1,5 baños, excelente	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 90m²	NA	Precio original $ 136.429. Precio actual $ 109.143.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Gran Hotel Parana		7,7	Precio $ 158.917	+ $ 33.373 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento en pleno centro de la cuidad de Paraná	Apartamento entero, 1 dormitorio, 1 baño, 35m²	NA	Precio $ 119.232	+ $ 2.646 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Peatonal	Apartamento entero, 1 dormitorio, 1 baño, 26m²	9,0	Precio original $ 103.296. Precio actual $ 87.801.	+ $ 18.438 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Uruguay	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	9,4	Precio original $ 135.812. Precio actual $ 122.231.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Providencia alquiler temporario-turístico	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,7	Precio $ 87.131	+ $ 18.298 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Zona Parque/Centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 11m²	9,5	Precio original $ 133.448. Precio actual $ 120.103.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	MODERNO DEPTO ZONA PARQUE CON YACUZZI (leer)	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 70m²	NA	Precio $ 207.642	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Depto.Parque Urquiza	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños	9,0	Precio original $ 275.151. Precio actual $ 220.121.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	"Apartament Avenida del Mate Gigante ""Nuez de la Isla II"""	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	8,4	Precio $ 185.978	+ $ 39.055 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Peatonal II	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	8,7	Precio original $ 114.646. Precio actual $ 97.008.	+ $ 20.372 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Corrientes	Apartamento entero, 1 dormitorio, 1 baño, 10m²	9,1	Precio original $ 135.812. Precio actual $ 122.231.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Temporario Calle Cervantes	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 90m²	9,4	Precio $ 149.040	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
