localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Paraná	Alameda belle view	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 40m²	NA	Precio $ 95.950	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	E Carbó 916	Apartamento entero, 2 dormitorios, 1 baño, 58m²	10	Precio $ 72.005	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Paraná Confort	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 42m²	9,9	Precio original $ 211.655. Precio actual $ 180.965.	+ $ 1.940 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Departamento Almafuerte	Apartamento entero, 1 dormitorio, 1 baño, 40m²	1,0	Precio $ 70.552	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Casa México	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina	9,7	Precio $ 96.700	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Departamento moderno totalmente equipado en centro de Paraná	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 38m²	8,9	Precio $ 69.141	+ $ 14.520 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Departamento Zona Parque/Centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 11m²	9,5	Precio original $ 117.708. Precio actual $ 105.940.	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	MODERNO DEPTO ZONA PARQUE CON YACUZZI (leer)	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 70m²	NA	Precio $ 157.358	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Departamento en pleno centro de la cuidad de Paraná	Apartamento entero, 1 dormitorio, 1 baño, 35m²	NA	Precio $ 146.747	+ $ 2.646 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Familiar 10 camas 3 hab 1,5 baños, excelente	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 90m²	NA	Precio $ 167.913	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Monoambiente La Pitota	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 28m²	9,3	Precio $ 101.594	+ $ 21.335 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Patagonia Apart	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,7	Precio $ 202.511	+ $ 42.527 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	La casita	Apartamento entero, 3 dormitorios, 1 baño, 45m²	9,4	Precio $ 84.323	+ $ 28.221 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Departamento Good Vibes	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 70m²	10	Precio $ 173.303	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
Paraná	Depto.Parque Urquiza	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños	9,0	Precio original $ 338.648. Precio actual $ 270.918.	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-10-15	2023-10-31
