localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
La Rioja	Lourdes 1	Apartamento entero, 1 dormitorio, 1 baño	6,0	Precio $ 83.822	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Habitación con oficina a la calle		8,2	Precio $ 82.836	+ $ 17.396 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Depto alaniz salinas	Apartamento entero, 1 dormitorio, 1 baño, 70m²	9,5	Precio $ 94.300	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	DEPARTAMENTO CON COCHERA ( COMPLEJO FRENCH )	Apartamento entero, 1 dormitorio, 1 baño, 50m²	9,9	Precio $ 122.602	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	DEPARTAMENTO CON COCHERA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,1	Precio $ 138.060	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Victoria Apart Hotel		8,7	Precio $ 140.525	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	MANTRA	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,3	Precio $ 199.078	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Vientos del Sur	Estudio entero, 1 baño, 60m²	8,5	Precio $ 181.450	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Cabañas Puertas del Sol	Apartamento entero, 1 dormitorio, 1 baño, 30m²	8,7	Precio $ 246.536	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Decom Suites	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,5	Precio original $ 197.229. Precio actual $ 167.644.	+ $ 35.205 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Edificio Huayra	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	8,2	Precio $ 125.733	+ $ 26.404 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Departamentos Temporales Alberdi	Estudio entero, 1 baño, 1 cocina, 38m²	8,8	Precio $ 136.211	+ $ 28.604 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	DELFINA suites 1A	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	10	Precio $ 209.556	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Complejo Aguila Blanca		5,7	Precio original $ 209.901. Precio actual $ 164.922.	+ $ 34.634 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Casa Norte	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	6,8	Precio $ 12.379.504	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Sweet Apartments II	Apartamento entero, 2 dormitorios, 1 baño, 65m²	NA	Precio original $ 221.882. Precio actual $ 188.600.	+ $ 39.606 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	CALMA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	NA	Precio $ 204.625	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	COQUENA Departamentos	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 56m²	8,5	Precio $ 2.465.359	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Casa Norte	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	6,8	Precio $ 12.379.504	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	CALMA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	NA	Precio $ 204.625	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	MANTRA	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,3	Precio $ 199.078	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Edificio Huayra	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	8,2	Precio $ 125.733	+ $ 26.404 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Habitación con oficina a la calle		8,2	Precio $ 82.836	+ $ 17.396 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Departamentos Temporales Alberdi	Estudio entero, 1 baño, 1 cocina, 38m²	8,8	Precio $ 136.211	+ $ 28.604 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Decom Suites	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,5	Precio original $ 197.229. Precio actual $ 167.644.	+ $ 35.205 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	DELFINA suites 1A	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	10	Precio $ 209.556	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	DEPARTAMENTO CON COCHERA ( COMPLEJO FRENCH )	Apartamento entero, 1 dormitorio, 1 baño, 50m²	9,9	Precio $ 122.602	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	DEPARTAMENTO CON COCHERA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,1	Precio $ 138.060	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Lourdes 1	Apartamento entero, 1 dormitorio, 1 baño	6,0	Precio $ 83.822	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Sweet Apartments II	Apartamento entero, 2 dormitorios, 1 baño, 65m²	NA	Precio original $ 221.882. Precio actual $ 188.600.	+ $ 39.606 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Cabañas Puertas del Sol	Apartamento entero, 1 dormitorio, 1 baño, 30m²	8,7	Precio $ 246.536	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Victoria Apart Hotel		8,7	Precio $ 140.525	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	COQUENA Departamentos	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 56m²	8,5	Precio $ 2.465.359	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Depto alaniz salinas	Apartamento entero, 1 dormitorio, 1 baño, 70m²	9,5	Precio $ 94.300	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Complejo Aguila Blanca		5,7	Precio original $ 209.901. Precio actual $ 164.922.	+ $ 34.634 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
La Rioja	Vientos del Sur	Estudio entero, 1 baño, 60m²	8,5	Precio $ 181.450	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Nonogasta	Temporario Nonogasta	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 44m²	8,8	Precio $ 163.946	+ $ 34.429 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Cabañas Don Roque		8,0	Precio $ 192.298	+ $ 40.383 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Cabañas Valle San Miguel	Bungalow entero, 3 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 120m²	7,9	Precio $ 271.189	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Casa Alpina	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños	NA	Precio original $ 212.687. Precio actual $ 170.149.	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	CasaGrande Hotel		8,0	Precio $ 265.273	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	El Viejo Molino		8,5	Precio $ 152.976	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Huellas del Trapiche Apart	Suite privada, 1 dormitorio, 1 sala de estar, 1 baño, 42m²	9,2	Precio original $ 244.071. Precio actual $ 230.511.	+ $ 48.407 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	La Casa de Li - En		7,9	Precio $ 105.394	+ $ 22.133 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Apart hotel chilecito	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 75m²	8,1	Precio $ 241.654	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Hostel Yanay		6,7	Precio $ 98.614	+ $ 20.709 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Complejo San José	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	5,7	Precio $ 209.556	+ $ 44.007 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Cabañas Valle San Miguel	Bungalow entero, 3 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 120m²	7,9	Precio $ 271.189	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Sweet Dream		NA	Precio $ 123.268	+ $ 25.886 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Cabaña La Martina	Suite privada	9,0	Precio $ 171.589	+ $ 36.034 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Cabañas Don Roque		8,0	Precio $ 192.298	+ $ 40.383 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Chilecito	Departamento Interno	Apartamento entero, 2 dormitorios, 1 baño	NA	Precio original $ 146.689. Precio actual $ 117.351.	Incluye impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Nonogasta	Temporario Nonogasta	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 44m²	8,8	Precio $ 163.946	+ $ 34.429 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Villa Unión	Hotel Boutique Cañon de Talampaya		7,9	Precio $ 202.387	+ $ 42.501 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Villa Unión	Hotel en el bermejo		4,0	Precio $ 91.218	+ $ 28.278 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Villa Unión	Hotel Valle Colorado		8,8	Precio $ 97.910	+ $ 20.561 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Villa Unión	del TALAMPAYA - Departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,3	Precio $ 123.268	+ $ 38.213 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
Villa Unión	Hospedaje del paseo	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	1,0	Precio $ 124.673	+ $ 12.467 de impuestos y cargos	14 noches, 2 adultos	La Rioja	2023-1-1	2023-1-15
San Juan	Gran Hotel Provincial		8,2	Precio $ 172.575	+ $ 36.241 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hotel Plaza San Juan		7,3	Precio $ 143.038	+ $ 30.038 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Pirkas Apartment	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	9,7	Precio $ 241.605	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	El Refugio Hotel		8,0	Precio $ 155.318	+ $ 32.617 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hotel Anmara		9,5	Precio $ 81.357	+ $ 17.085 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hotel Selby		7,3	Precio $ 138.430	+ $ 29.070 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hermoso departamento a estrenar	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Paz Apartments	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 90m²	10	Precio $ 117.351	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Alquileres Temporarios en San Juan	Apartamento entero, 1 dormitorio, 1 baño, 35m²	8,4	Precio $ 123.268	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Complejo Nazareno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	8,6	Precio $ 140.525	+ $ 29.510 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Abril Dpto Temporario	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,1	Precio $ 136.313	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	DON LUCIO	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,6	Precio original $ 188.072. Precio actual $ 169.265.	+ $ 35.546 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hotel Cerro Blanco		7,8	Precio $ 162.009	+ $ 34.022 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hotel America		8,1	Precio $ 123.268	+ $ 25.886 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Terraza del Sol Apart	Apartamento entero, 1 dormitorio, 1 baño, 35m²	8,2	Precio $ 175.287	+ $ 36.810 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Excelente Duplex en Consorcio Privado c/ cochera	Apartamento entero, 2 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 90m²	8,7	Precio original $ 221.882. Precio actual $ 189.709.	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Urban	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 37m²	NA	Precio $ 103.545	+ $ 21.744 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Exclusivo Céntrico SJ Diseño y Confort	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 90m²	NA	Precio $ 272.422	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Alto del Bono	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,3	Precio $ 86.288	+ $ 18.120 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Moto Hostel San Juan		10	Precio original $ 98.614. Precio actual $ 88.753.	+ $ 18.638 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Médanos Negros Departamentos	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	8,8	Precio $ 120.803	+ $ 27.130 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hotel Del Bono Park		8,8	Precio $ 453.823	+ $ 95.303 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Apart La Martina	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	10	Precio $ 206.622	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	San Juan Hostel		6,7	Precio $ 84.527	+ $ 17.751 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	pedro de valdivia 219	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 35m²	9,9	Precio original $ 152.236. Precio actual $ 147.675.	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Portal del Aguaribay	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 52m²	9,9	Precio $ 209.556	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Complejo La Carlota	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,2	Precio original $ 155.318. Precio actual $ 139.786.	+ $ 13.979 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Departamento cómodo en edificio Natania 2	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina	9,0	Precio $ 221.882	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Departamentos amoblados de Jardines de Libertador	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	9,0	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Hermoso departamento a estrenar	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Departamento Nuevo	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina, 80m²	9,7	Precio $ 188.600	+ $ 39.606 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Dominguito departamentos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	7,4	Precio $ 88.753	+ $ 18.638 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Apart Hotel y Cabañas Olivos del Sol	Bungalow entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 80m²	8,3	Precio $ 374.735	+ $ 78.694 de impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Departamento calle Rivadavia	Apartamento entero, 1 dormitorio, 1 baño, 86m²	10	Precio $ 108.969	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
San Juan	Departamento confortable y moderno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 55m²	9,3	Precio $ 139.786	Incluye impuestos y cargos	14 noches, 2 adultos	San Juan	2023-1-1	2023-1-15
