localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
La Rioja	Departamentos Tierra Colorada	Apartamento entero, 1 dormitorio, 1 baño, 40m²	8,5	Precio $ 91.570	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Lourdes 1	Apartamento entero, 1 dormitorio, 1 baño	6,0	Precio $ 77.835	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Habitación con oficina a la calle		8,2	Precio $ 76.919	+ $ 16.153 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Depto amoblado zona UNLaR	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,3	Precio $ 123.620	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Cerros Azules en La Rioja Alojamiento Temporario	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 154.983	+ $ 32.546 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Departamento Centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	8,6	Precio $ 160.248	+ $ 33.652 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	DEPARTAMENTO CON COCHERA ( COMPLEJO FRENCH )	Apartamento entero, 1 dormitorio, 1 baño, 50m²	9,9	Precio $ 113.845	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	La Cabaña La Rioja	Chalet de montaña entero, 2 dormitorios, 2 baños, 1 cocina, 50m²	NA	Precio original $ 181.928. Precio actual $ 145.542.	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	DEPARTAMENTO CON COCHERA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,1	Precio $ 128.199	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	monoambiente huellas2	Apartamento entero, 1 dormitorio, 1 baño, 35m²	9,6	Precio $ 80.559	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	MANTRA	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,3	Precio $ 194.587	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Las Moras	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	10	Precio $ 114.806	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	departamento centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,7	Precio $ 137.356	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Cabañas Puertas del Sol	Apartamento entero, 1 dormitorio, 1 baño, 30m²	8,7	Precio $ 228.926	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Chayerita - Suite en La Rioja	Suite privada	9,5	Precio $ 91.570	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	RM DEPARTAMENTOS	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	9,8	Precio $ 223.775	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Suite Centro	Apartamento entero, 1 dormitorio, 1 baño, 35m²	7,6	Precio $ 137.356	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Sweet Apartments	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 38m²	9,5	Precio $ 110.017	+ $ 23.103 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Hotel Las Moras		7,6	Precio $ 107.137	+ $ 1.761 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Decom Suites	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,5	Precio original $ 183.141. Precio actual $ 155.670.	+ $ 32.691 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Diaz Deptos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,5	Precio $ 96.149	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	DELFINA suites 1C	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	10	Precio $ 175.129	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Tu casa en la rioja	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 65m²	10	Precio $ 157.135	+ $ 15.713 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	HOSPEDAJE DEL PASEO		NA	Precio $ 160.248	+ $ 33.171 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	DELFINA suites 1A	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 45m²	10	Precio $ 228.926	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	RM DEPARTAMENTOS	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	9,8	Precio $ 223.775	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Casa Norte	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	6,8	Precio $ 11.495.254	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Nova I - Depto. Centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 47m²	9,8	Precio original $ 352.194. Precio actual $ 299.365.	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	DEPARTAMENTO PRINGLES	Apartamento entero, 2 dormitorios, 1 baño, 40m²	9,6	Precio $ 175.129	+ $ 36.777 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Departamentos Tierra Colorada	Apartamento entero, 1 dormitorio, 1 baño, 40m²	8,5	Precio $ 91.570	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Torre 120	Apartamento entero, 1 dormitorio, 1 cocina, 51m²	8,4	Precio $ 320.497	+ $ 67.304 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Edificio Huayra	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 40m²	8,2	Precio $ 158.646	+ $ 33.316 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	CALMA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	NA	Precio $ 190.009	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Sweet Apartments II	Apartamento entero, 2 dormitorios, 1 baño, 65m²	NA	Precio original $ 213.077. Precio actual $ 181.116.	+ $ 38.034 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Complejo Aguila Blanca		5,7	Precio $ 194.908	+ $ 40.931 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Habitación con oficina a la calle		8,2	Precio $ 76.919	+ $ 16.153 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	COQUENA Departamentos	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 56m²	8,5	Precio $ 2.289.262	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	departamento centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,7	Precio $ 137.356	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Cabañas Puertas del Sol	Apartamento entero, 1 dormitorio, 1 baño, 30m²	8,7	Precio $ 228.926	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Chayerita - Suite en La Rioja	Suite privada	9,5	Precio $ 91.570	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	RM DEPARTAMENTOS	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	9,8	Precio $ 223.775	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Suite Centro	Apartamento entero, 1 dormitorio, 1 baño, 35m²	7,6	Precio $ 137.356	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Sweet Apartments	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 38m²	9,5	Precio $ 110.017	+ $ 23.103 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Hotel Las Moras		7,6	Precio $ 107.137	+ $ 1.761 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Decom Suites	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,5	Precio original $ 183.141. Precio actual $ 155.670.	+ $ 32.691 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Diaz Deptos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,5	Precio $ 96.149	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	DELFINA suites 1C	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	10	Precio $ 175.129	Incluye impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	Tu casa en la rioja	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 65m²	10	Precio $ 157.135	+ $ 15.713 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
La Rioja	HOSPEDAJE DEL PASEO		NA	Precio $ 160.248	+ $ 33.171 de impuestos y cargos	13 noches, 2 adultos	La Rioja	2023-2-15	2023-2-28
