localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
La Rioja	Casa Alaniz Salinas	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 100m²	9,2	Precio $ 107.123	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Lourdes 1	Apartamento entero, 1 dormitorio, 1 baño	6,0	Precio $ 64.663	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Depto amoblado zona UNLaR	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,3	Precio $ 126.790	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	White House - Hospedaje con Desayuno	Apartamento entero, 3 dormitorios, 1 sala de estar, 1 baño, 25m²	9,1	Precio $ 134.116	+ $ 28.164 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Vientos del Sur	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 54m²	8,5	Precio $ 91.711	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	HUELLAS LOFTER	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	8,9	Precio $ 112.702	+ $ 23.667 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Umbrella	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,6	Precio $ 59.873	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Departamentos Tierra Colorada	Apartamento entero, 1 dormitorio, 1 baño, 40m²	8,5	Precio $ 111.575	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Cerros Azules en La Rioja Alojamiento Temporario	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 190.748	+ $ 40.057 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	monoambiente huellas2	Apartamento entero, 1 dormitorio, 1 baño, 35m²	9,6	Precio $ 84.076	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	La casita de La Rioja	Casa o chalet entero, 1 dormitorio, 1 baño, 56m²	9,5	Precio $ 146.569	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	DEPARTAMENTO CON COCHERA ( COMPLEJO FRENCH )	Apartamento entero, 1 dormitorio, 1 baño, 50m²	9,9	Precio $ 156.276	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	La Cabaña La Rioja	Chalet de montaña entero, 2 dormitorios, 2 baños, 1 cocina, 50m²	NA	Precio original $ 223.911. Precio actual $ 179.129.	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	DEPARTAMENTO CON COCHERA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,1	Precio $ 135.243	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Cabañas Puertas del Sol	Apartamento entero, 1 dormitorio, 1 baño, 20m²	8,7	Precio $ 253.580	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Samay kusi	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 95.092	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	CASA CON PILETA Y COCHERa	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 500m²	9,1	Precio $ 215.543	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	RM DEPARTAMENTOS	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	9,8	Precio $ 275.416	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Suite Centro	Apartamento entero, 1 dormitorio, 1 baño, 35m²	7,6	Precio $ 169.053	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Sweet Apartments	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 38m²	9,5	Precio $ 131.721	+ $ 27.661 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
La Rioja	Cabañas Altos del Velazco	Casa o chalet entero, 1 dormitorio, 1 baño	8,9	Precio $ 240.394	+ $ 50.113 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-7-15	2023-7-31
