localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
La Rioja	GM Rooms Rental Suites	Suite privada	9,5	Precio $ 216.952	+ $ 45.560 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Lourdes 1	Apartamento entero, 1 dormitorio, 1 baño	6,0	Precio $ 64.663	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Depto amoblado zona UNLaR	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,3	Precio $ 126.790	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	White House - Hospedaje con Desayuno	Apartamento entero, 3 dormitorios, 1 sala de estar, 1 baño, 25m²	9,1	Precio $ 134.116	+ $ 28.164 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Vientos del Sur	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 54m²	8,5	Precio $ 91.711	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Umbrella	Apartamento entero, 1 dormitorio, 1 baño, 25m²	9,6	Precio $ 59.873	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Departamentos Tierra Colorada	Apartamento entero, 1 dormitorio, 1 baño, 40m²	8,5	Precio $ 111.575	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Depto alaniz salinas	Apartamento entero, 1 dormitorio, 1 baño, 70m²	9,5	Precio $ 107.771	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	Cerros Azules en La Rioja Alojamiento Temporario	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 190.748	+ $ 40.057 de impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	DEPARTAMENTO CON COCHERA ( COMPLEJO FRENCH )	Apartamento entero, 1 dormitorio, 1 baño, 50m²	9,9	Precio $ 129.326	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	monoambiente huellas2	Apartamento entero, 1 dormitorio, 1 baño, 35m²	9,6	Precio $ 84.076	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
La Rioja	La casita de La Rioja	Casa o chalet entero, 1 dormitorio, 1 baño, 56m²	9,5	Precio $ 146.569	Incluye impuestos y cargos	16 noches, 2 adultos	La Rioja	2023-5-15	2023-5-31
