localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Santa Rosa	Unit Santa Rosa		8,7	Precio $ 300.470	+ $ 63.099 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Torre Garibaldi	Apartamento entero, 1 dormitorio, 1 baño	7,2	Precio $ 139.428	+ $ 29.280 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Hotel Apart El Faro	Apartamento entero, 1 dormitorio, 2 baños, 1 cocina, 20m²	6,8	Precio $ 177.790	+ $ 37.336 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Hotel Rucalen		7,7	Precio $ 333.356	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Luisito	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 125.935	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Unit Santa Rosa		8,7	Precio $ 300.470	+ $ 63.099 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Torre Garibaldi	Apartamento entero, 1 dormitorio, 1 baño	7,2	Precio $ 139.428	+ $ 29.280 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Hotel Rucalen		7,7	Precio $ 333.356	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Hotel Apart El Faro	Apartamento entero, 1 dormitorio, 2 baños, 1 cocina, 20m²	6,8	Precio $ 177.790	+ $ 37.336 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
Santa Rosa	Luisito	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 125.935	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-1-1	2023-1-15
San Martín de los Andes	Del Viejo Esquiador		8,5	Precio $ 432.696	+ $ 90.866 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Loi Suites Chapelco Hotel		8,5	Precio original $ 853.392. Precio actual $ 682.714.	+ $ 143.370 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Hosteria La Chira		9,4	Precio $ 575.348	+ $ 120.823 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	DEPARTAMENTO RAMAYON	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 110m²	NA	Precio $ 440.771	Incluye impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Caballería de los Andes - Andarlibre	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	8,2	Precio original $ 295.632. Precio actual $ 266.069.	+ $ 2.646 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Casa Mora	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 120m²	9,2	Precio $ 393.325	+ $ 82.598 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Hosteria Cumelen		6,4	Precio $ 292.789	+ $ 61.486 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Patagonia Plaza Hotel		7,9	Precio $ 714.247	+ $ 149.992 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
San Martín de los Andes	Hosteria Las Walkirias		8,4	Precio $ 666.713	+ $ 140.010 de impuestos y cargos	14 noches, 2 adultos	Neuquen	2023-1-1	2023-1-15
