localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Santa Rosa	Motel ACA Santa Rosa		8,2	Precio $ 327.924	+ $ 68.864 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Unit Santa Rosa		8,7	Precio $ 258.166	+ $ 54.215 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Calfucura Apart Hotel		6,4	Precio $ 142.867	+ $ 30.002 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Edison	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	10	Precio $ 130.873	+ $ 27.483 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Depto por día Santa Rosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,8	Precio $ 132.231	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Casa Marques	Casa o chalet entero, 2 dormitorios, 1 baño, 120m²	9,8	Precio $ 160.011	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamentos Ferrando	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,6	Precio $ 144.454	+ $ 30.335 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Temporario calle Pico	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 25m²	9,5	Precio $ 157.154	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	La Quinta Departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	10	Precio $ 178.407	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamentos San Jorge	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,2	Precio $ 146.084	+ $ 30.678 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Centeno. Centrico.	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 55m²	9,2	Precio $ 183.346	+ $ 38.503 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento en Santa Rosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,2	Precio $ 169.493	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	A & F home	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 65m²	9,7	Precio $ 234.584	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Tati	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 85m²	10	Precio $ 314.836	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	"""Los Abrojos"" 2"	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 182.605	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Complejo Las Moras	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 60m²	9,2	Precio $ 135.812	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Alquiler Temporario Las Catas Santa Rosa	Apartamento entero, 2 dormitorios, 2 baños, 89m²	NA	Precio $ 188.902	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Pueyrredón	Apartamento entero, 2 dormitorios, 1 baño, 72m²	8,0	Precio $ 176.308	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Luisito	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 143.220	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Falucho	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 43m²	10	Precio $ 142.726	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	"""Los Abrojos"" 1"	Apartamento entero, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 182.605	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento céntrico amplio con garage automatizado 24 Hs	Apartamento entero, 4 dormitorios, 1 baño, 1 cocina, 120m²	7,8	Precio $ 233.349	+ $ 49.003 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Moreno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,2	Precio $ 246.931	+ $ 51.855 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Amplia casa! A mts RN 5 y 35	Casa o chalet entero, 1 dormitorio, 1 baño, 1 cocina, 90m²	NA	Precio original $ 113.341. Precio actual $ 90.673.	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Manolo	Apartamento entero, 2 dormitorios, 2 baños, 82m²	7,1	Precio $ 271.624	+ $ 57.041 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Sarah	Hotel Rural La Pampeana		9,5	Precio $ 445.018	+ $ 93.454 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Río Colorado	Postal Sur	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 30m²	8,6	Precio original $ 222.238. Precio actual $ 155.566.	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Puelches	Hotel Juanita		7,2	Precio $ 155.566	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Toay	Casa quinta	Apartamento entero, 1 dormitorio, 1 baño, 74m²	NA	Precio $ 104.945	+ $ 10.495 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Motel ACA Santa Rosa		8,2	Precio $ 327.924	+ $ 68.864 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Unit Santa Rosa		8,7	Precio $ 258.166	+ $ 54.215 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Calfucura Apart Hotel		6,4	Precio $ 142.867	+ $ 30.002 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Río Colorado	Departamentos Peumayen	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 36m²	8,4	Precio $ 106.180	+ $ 21.927 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Río Colorado	Departamentos Anahí	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 30m²	9,0	Precio $ 246.931	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Toay	casa quinta, alquiler temporario	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 65m²	9,4	Precio $ 153.294	+ $ 32.192 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Depto por día Santa Rosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,8	Precio $ 132.231	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamentos Ferrando	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,6	Precio $ 144.454	+ $ 30.335 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Bernardo Larroudé	Hotel Las Termas		8,1	Precio $ 125.935	+ $ 26.446 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamentos San Jorge	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,2	Precio $ 146.084	+ $ 30.678 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Complejo Las Moras	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 60m²	9,2	Precio $ 135.812	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Río Colorado	Complejo EL ANGEL	Apartamento entero, 3 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	9,5	Precio $ 370.396	+ $ 77.413 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento en Santa Rosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,2	Precio $ 169.493	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Centeno. Centrico.	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 55m²	9,2	Precio $ 183.346	+ $ 38.503 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	A & F home	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 65m²	9,7	Precio $ 234.584	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento céntrico amplio con garage automatizado 24 Hs	Apartamento entero, 4 dormitorios, 1 baño, 1 cocina, 120m²	7,8	Precio $ 233.349	+ $ 49.003 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	"""Los Abrojos"" 2"	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 182.605	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Luisito	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 143.220	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Moreno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,2	Precio $ 246.931	+ $ 51.855 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	La Quinta Departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	10	Precio $ 178.407	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Casa Marques	Casa o chalet entero, 2 dormitorios, 1 baño, 120m²	9,8	Precio $ 160.011	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Tati	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 85m²	10	Precio $ 314.836	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Alquiler Temporario Las Catas Santa Rosa	Apartamento entero, 2 dormitorios, 2 baños, 89m²	NA	Precio $ 188.902	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	"""Los Abrojos"" 2"	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 182.605	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento Temporario calle Pico	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 25m²	9,5	Precio $ 157.154	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Toay	Casa quinta	Apartamento entero, 1 dormitorio, 1 baño, 74m²	NA	Precio $ 104.945	+ $ 10.495 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
Santa Rosa	Departamento céntrico amplio con garage automatizado 24 Hs	Apartamento entero, 4 dormitorios, 1 baño, 1 cocina, 120m²	7,8	Precio $ 233.349	+ $ 49.003 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-2-1	2023-2-15
