localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Santa Rosa	Jade	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	8,8	Precio original $ 113.341. Precio actual $ 102.007.	+ $ 10.201 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Hostel Don Manuel		9,0	Precio $ 80.598	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Cabaña con pileta Olga Estancia las Malvinas	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 70m²	8,5	Precio $ 155.566	+ $ 34.433 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Cabaña con pileta Sarita Estancia las Malvinas	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 70m²	9,1	Precio $ 144.454	+ $ 32.099 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Unit Santa Rosa		8,7	Precio $ 245.177	+ $ 51.487 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	CENTENO CASI 9 DE JULIO	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,7	Precio $ 66.116	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento santa fe	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	9,0	Precio $ 142.726	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Edison	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	10	Precio $ 128.404	+ $ 26.965 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamentos Ferrando	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,6	Precio $ 122.231	+ $ 25.668 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Casa Marques	Casa o chalet entero, 2 dormitorios, 1 baño, 120m²	9,8	Precio $ 160.011	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Cabaña con pileta La Nena Estancia las Malvinas	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 70m²	9,4	Precio $ 155.566	+ $ 34.433 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	La Quinta Departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	10	Precio $ 178.407	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento Moreno 2	Apartamento entero, 3 dormitorios, 1 baño, 75m²	9,2	Precio $ 142.726	+ $ 29.972 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Tati	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 85m²	10	Precio $ 314.836	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Casa Quinta con pileta	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 2 baños, 1 cocina, 130m²	8,8	Precio $ 155.566	+ $ 34.433 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento en Santa Rosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,2	Precio $ 178.407	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	"""Los Abrojos"" 2"	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 182.605	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	La catamarca	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 99.711	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Las Acacias De Santa Rosa	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 80m²	9,2	Precio $ 268.537	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Sol del Este	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 100m²	9,5	Precio $ 143.220	+ $ 30.076 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Complejo Las Moras	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 60m²	9,2	Precio $ 135.812	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	M.Pascual	Casa o chalet entero, 2 dormitorios, 1 baño, 80m²	NA	Precio $ 167.913	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento Pueyrredón	Apartamento entero, 2 dormitorios, 1 baño, 72m²	8,0	Precio $ 176.308	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Habitaciôn doble con baño privado en casa Lorena Barrau		8,6	Precio $ 123.465	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento Falucho	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 43m²	10	Precio $ 142.726	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	"""Los Abrojos"" 1"	Apartamento entero, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 182.605	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento Moreno	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,2	Precio $ 246.931	+ $ 51.855 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Amplia casa! A mts RN 5 y 35	Casa o chalet entero, 1 dormitorio, 1 baño, 1 cocina, 90m²	NA	Precio original $ 113.341. Precio actual $ 90.673.	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Luisito	Apartamento entero, 1 dormitorio, 1 baño	8,4	Precio $ 222.238	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento céntrico amplio con garage automatizado 24 Hs	Apartamento entero, 4 dormitorios, 1 baño, 1 cocina, 120m²	7,8	Precio $ 388.916	+ $ 81.672 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Manolo	Apartamento entero, 2 dormitorios, 2 baños, 82m²	7,1	Precio $ 271.624	+ $ 57.041 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamento santa fe	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	9,0	Precio $ 142.726	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Edison	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	10	Precio $ 128.404	+ $ 26.965 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Departamentos Ferrando	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,6	Precio $ 122.231	+ $ 25.668 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Casa Marques	Casa o chalet entero, 2 dormitorios, 1 baño, 120m²	9,8	Precio $ 160.011	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	Cabaña con pileta La Nena Estancia las Malvinas	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 70m²	9,4	Precio $ 155.566	+ $ 34.433 de impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
Santa Rosa	La Quinta Departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	10	Precio $ 178.407	Incluye impuestos y cargos	14 noches, 2 adultos	La Pampa	2023-5-1	2023-5-15
