localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Santa Rosa	Departamento santa fe	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	9,0	Precio $ 81.558	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Jade	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	8,8	Precio original $ 129.533. Precio actual $ 116.579.	+ $ 11.658 de impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Hostel Don Manuel		9,0	Precio $ 92.112	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	CENTENO CASI 9 DE JULIO	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,7	Precio $ 75.561	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Departamento Urquiza	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 90m²	9,5	Precio $ 162.890	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Dpto, Centeno Centrico 2	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 60m²	9,1	Precio $ 129.900	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Unit Santa Rosa		8,7	Precio $ 402.680	+ $ 84.563 de impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Casa Marques	Casa o chalet entero, 2 dormitorios, 1 baño, 120m²	9,8	Precio $ 182.870	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	La Quinta Departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	10	Precio $ 203.894	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Andoli 3	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	8,8	Precio $ 160.858	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Las Acacias De Santa Rosa	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 80m²	9,2	Precio $ 306.899	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Tati	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 85m²	10	Precio $ 359.813	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Hermoso departamento	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 61m²	9,8	Precio $ 193.086	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	Departamento en Santa Rosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,2	Precio $ 203.894	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	"""Los Abrojos"" 2"	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 45m²	9,1	Precio $ 208.692	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
Santa Rosa	La catamarca	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 113.955	Incluye impuestos y cargos	16 noches, 2 adultos	La Pampa	2023-10-15	2023-10-31
