localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 112.427	+ $ 23.610 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Libertador General San Martín	Hosteria-Spa Posada del Sol		8,9	Precio $ 249.837	+ $ 52.466 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Libertador General San Martín	Hospedaje El Turista.	Apartamento entero, 1 dormitorio, 1 baño, 38m²	8,5	Precio $ 179.883	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Libertador General San Martín	Hospedaje Turisticos.		7,2	Precio $ 74.327	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 200.948	+ $ 42.199 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Huacalera	CabañaPerchel Tilcara Quebrada de Humahuaca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 101.609	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Huacalera	Hosteria la granja		7,8	Precio $ 157.397	+ $ 34.838 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Huacalera	Hotel Huacalera		8,5	Precio $ 595.862	+ $ 125.131 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Huacalera	El Cardon Hospedaje		8,2	Precio $ 149.902	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Cabañas Violeta Tilcara		9,1	Precio original $ 174.886. Precio actual $ 148.653.	+ $ 31.217 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	El Shaddai		8,2	Precio $ 149.902	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Glamping El Obrador Tilcara		8,7	Precio $ 178.455	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 207.008	+ $ 43.472 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 200.948	+ $ 42.199 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	NA	Precio $ 535.365	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 169.889	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Monoambiente en Tilcara	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 24m²	6,4	Precio $ 374.756	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Cabañas Santa Catalina	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	7,9	Precio $ 311.797	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
Tilcara	Cerro Negro Posada	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño	7,8	Precio $ 460.785	+ $ 96.765 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-4-1	2023-4-15
