localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 128.623	+ $ 27.011 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Libertador General San Martín	Hospedaje Turisticos.		7,2	Precio $ 84.520	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 16.566.697	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 74.344	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 743.158	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Tilcara	El Sueñero	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 56m²	9,4	Precio $ 110.302	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Tilcara	El Convento de Tilcara		8,4	Precio $ 284.001	+ $ 59.640 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Tilcara	flor del tilcara		10	Precio $ 91.837	+ $ 19.286 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Tilcara	Cabaña Carmela	Apartamento entero, 1 dormitorio, 1 baño	9,0	Precio $ 106.900	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 87.464	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Tilcara	Casa Pachamama	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 60m²	NA	Precio $ 267.251	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Huacalera	CabañaPerchel Tilcara Quebrada de Humahuaca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 116.247	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Huacalera	Hosteria la granja		7,8	Precio $ 128.623	+ $ 28.797 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Purmamarca	Hotel El Manantial del Silencio		8,5	Precio $ 1.282.999	+ $ 269.430 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Purmamarca	Estancia El Mulato		NA	Precio $ 382.040	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Purmamarca	Lo del Chango	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina	9,2	Precio $ 578.805	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
Purmamarca	Casita de Purmamarca	Villa entera, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 150m²	9,3	Precio $ 585.037	+ $ 122.858 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-12-15	2023-12-31
