localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 112.427	+ $ 23.610 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Libertador General San Martín	Hosteria-Spa Posada del Sol		8,9	Precio $ 249.837	+ $ 52.466 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Libertador General San Martín	Hospedaje El Turista.	Apartamento entero, 1 dormitorio, 1 baño, 38m²	8,5	Precio $ 179.883	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Libertador General San Martín	Hospedaje Turisticos.		7,2	Precio $ 74.327	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 206.865	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 64.983	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 649.576	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 248.238	+ $ 52.130 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	flor del tilcara		10	Precio $ 80.273	+ $ 16.857 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Casa Pachamama	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 60m²	NA	Precio $ 66.906	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Huacalera	CabañaPerchel Tilcara Quebrada de Humahuaca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 101.609	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Huacalera	Hosteria la granja		7,8	Precio $ 112.427	+ $ 25.394 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Huacalera	Hotel Huacalera		8,5	Precio $ 602.286	+ $ 126.480 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Las Marías Hotel Boutique		9,5	Precio $ 527.156	+ $ 110.703 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Villa del Cielo		8,9	Precio $ 445.984	+ $ 93.657 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Tilcara Mistica Hostel		7,9	Precio $ 90.341	+ $ 18.972 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Hotel El Reposo Del Diablo		8,7	Precio $ 323.564	+ $ 67.948 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Casa Pachamama	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 60m²	NA	Precio $ 66.906	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Hostal Antigua Tilcara		9,2	Precio $ 363.565	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Departamento UNO TILCARA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,4	Precio $ 174.886	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Cabañas Violeta Tilcara		9,1	Precio original $ 149.902. Precio actual $ 127.417.	+ $ 26.758 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	Monoambiente en Tilcara	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 24m²	6,4	Precio $ 121.521	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
Tilcara	flor del tilcara		10	Precio $ 80.273	+ $ 16.857 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-6-1	2023-6-15
