localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 111.582	+ $ 23.432 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Libertador General San Martín	Hosteria-Spa Posada del Sol		8,9	Precio $ 247.960	+ $ 52.072 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Libertador General San Martín	Hospedaje El Turista.	Apartamento entero, 1 dormitorio, 1 baño, 38m²	8,5	Precio $ 178.532	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Libertador General San Martín	Hospedaje Turisticos.		7,2	Precio $ 73.768	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 644.697	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	Milfreda	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 120m²	8,8	Precio $ 379.379	+ $ 79.670 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	La Hoyada	Apartamento entero, 1 dormitorio, 1 baño, 28m²	8,9	Precio $ 241.761	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	BELLA VISTA TILCARA	Habitación compartida	8,0	Precio $ 235.562	+ $ 49.468 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	El Valle	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 18m²	8,9	Precio $ 223.164	+ $ 46.865 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 164.249	+ $ 34.492 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	flor del tilcara		10	Precio $ 79.670	+ $ 16.731 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Huacalera	Hosteria la granja		7,8	Precio $ 111.582	+ $ 25.203 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Huacalera	Hotel Huacalera		8,5	Precio original $ 481.397. Precio actual $ 361.048.	+ $ 75.820 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Huacalera	El Cardon Hospedaje		8,2	Precio $ 148.776	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	Alojamiento en Tilcara		9,6	Precio $ 173.572	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	casa 2 pisos	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 225.421	+ $ 47.338 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	Villa del Cielo		8,8	Precio $ 423.045	+ $ 88.840 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	Hostal Antigua Tilcara		9,2	Precio $ 319.447	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	Alas del Alma		8,1	Precio $ 324.828	+ $ 68.214 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	Pueblo Indio		7,8	Precio $ 309.951	+ $ 65.090 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
Tilcara	LOS LILOS - Otros Aires	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 21m²	8,6	Precio $ 200.848	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-3-1	2023-3-15
