localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Asunción	Terrazas Vista Verde		8,4	Precio original $ 169.927. Precio actual $ 144.428.	+ $ 14.443 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Resort Yacht Y Golf Club Paraguayo		8,3	Precio $ 277.036	+ $ 27.704 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Gaucho House HABITACION EN DUPLEX		9,9	Precio $ 47.898	+ $ 9.580 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Casa el lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 250m²	NA	Precio $ 129.326	+ $ 12.933 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Departamentos - Alquileres Asunción	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,0	Precio $ 81.005	+ $ 8.100 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	SOCRA Félix Bogado	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 120m²	7,4	Precio $ 140.652	+ $ 14.065 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Villa Elisa	Agradable casa con piscina-Comfortable pool house	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 20m²	NA	Precio $ 481.802	+ $ 96.360 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Departamento entero	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 32m²	9,0	Precio $ 84.527	+ $ 8.453 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Pequeño departamento	Apartamento entero, 1 dormitorio, 1 baño, 15m²	NA	Precio $ 70.439	+ $ 7.044 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
Asunción	Apartamentos Victoria	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,5	Precio original $ 103.728. Precio actual $ 68.576.	+ $ 6.858 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-1-15	2023-1-31
