localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Albardón	Cabaña Ohana-House	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 85m²	10	Precio $ 150.176	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Albardón	Cabañas El Moscatel	Casa o chalet entero, 2 dormitorios, 1 baño, 54m²	NA	Precio $ 197.792	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Albardón	Cabañas El Kincho	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 70m²	8,3	Precio $ 240.373	+ $ 50.478 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Albardón	Cabañas El Sauce	Casa o chalet entero, 1 dormitorio, 1 baño	9,1	Precio $ 145.940	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Albardón	ALTOS DE LA CAÑADA	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	8,3	Precio $ 228.926	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Albardón	Doña Emilia Amarfil		9,0	Precio $ 125.909	+ $ 26.441 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Villa del Salvador	El Indio - Casa de campo	Casa o chalet entero, 3 dormitorios, 1 baño, 200m²	9,5	Precio original $ 343.389. Precio actual $ 309.050.	+ $ 9.509 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Martín	El Algarrobo Casa de Campo	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 80m²	6,2	Precio $ 80.262	+ $ 8.026 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Complejo Don Tito	Apartamento entero, 2 dormitorios, 1 baño, 20m²	9,0	Precio original $ 217.480. Precio actual $ 195.732.	+ $ 41.104 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Alto de Sierra	Casa Quinta LaRural, equipada, calida, c/ pileta	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 100m²	NA	Precio original $ 245.479. Precio actual $ 220.931.	+ $ 22.093 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	CASA FAMILIAR	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	8,0	Precio $ 238.083	+ $ 49.997 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Médanos Negros Departamentos	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 25m²	8,8	Precio $ 100.728	+ $ 22.914 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	LA NEBULOSA	Apartamento entero, 1 dormitorio, 1 baño, 40m²	4,0	Precio $ 80.124	+ $ 16.826 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Fánsil		9,0	Precio $ 96.836	+ $ 20.336 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Casa en barrio privado para alquiler temporal	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	8,0	Precio $ 389.175	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Departamento amplio, muy bien ubicado, dos ambientes, separado cocina y baño, el barrio no es lindo pero las instalaciones perfectas y li	Apartamento entero, 2 dormitorios, 1 baño, 60m²	NA	Precio $ 463.118	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	DepartamentoSarmiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 24m²	NA	Precio $ 91.570	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Moto Hostel San Juan		10	Precio original $ 91.570. Precio actual $ 82.413.	+ $ 17.307 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Exclusivo Céntrico SJ Diseño y Confort	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 90m²	NA	Precio $ 252.963	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Departamento a 700 metros centro de san juan	Apartamento entero, 1 dormitorio, 2 baños, 1 cocina, 110m²	NA	Precio $ 155.670	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Santa Lucía	Departamento Norte Pueyrredon	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 28m²	9,7	Precio $ 112.174	+ $ 25.317 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	La Casa de Los Sueños	Casa o chalet entero, 5 dormitorios, 2 baños, 1 cocina	9,1	Precio $ 240.373	+ $ 50.478 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Departamento Nuevo	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina, 80m²	9,7	Precio original $ 155.670. Precio actual $ 132.319.	+ $ 27.787 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Apartamento San Juan Capital	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 32m²	8,3	Precio $ 91.570	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Juan	Departamento Benissa en San Juan	Apartamento entero, 1 dormitorio, 1 baño, 45m²	NA	Precio original $ 86.992. Precio actual $ 69.594.	Incluye impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	CostaMansa House, a orillas del Rio Paraguay	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 170m²	9,2	Precio original $ 211.528. Precio actual $ 149.832.	+ $ 14.983 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Resort Yacht Y Golf Club Paraguayo		8,3	Precio $ 271.850	+ $ 27.185 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Gaucho House HABITACION EN DUPLEX		9,9	Precio $ 38.917	+ $ 7.783 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Casa el lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 250m²	NA	Precio $ 105.077	+ $ 10.508 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Casa en lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 200m²	NA	Precio $ 102.742	+ $ 10.274 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Departamentos - Alquileres Asunción	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,0	Precio $ 65.816	+ $ 6.582 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	SOCRA Félix Bogado	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 120m²	7,4	Precio $ 114.280	+ $ 11.428 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Villa Elisa	Agradable casa con piscina-Comfortable pool house	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 20m²	NA	Precio $ 391.464	+ $ 78.293 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Departamento entero	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 32m²	9,0	Precio $ 68.678	+ $ 6.868 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Pequeño departamento	Apartamento entero, 1 dormitorio, 1 baño, 15m²	NA	Precio $ 57.232	+ $ 5.723 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Mi lugar Vintage		9,4	Precio $ 36.972	+ $ 3.697 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
San Antonio	POSADA DON CANDIDO	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 35m²	NA	Precio $ 87.564	+ $ 18.922 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Pieza con aire y baño en asunción centro	Apartamento entero, 1 dormitorio, 1 baño, 90m²	NA	Precio $ 126.482	+ $ 12.648 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	SOCRA Centro	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	8,0	Precio $ 116.752	+ $ 11.675 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Costera	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 60m²	9,7	Precio $ 127.214	+ $ 12.721 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
Asunción	Fortaleza II	Apartamento entero, 1 dormitorio, 1 baño, 80m²	NA	Precio $ 77.835	+ $ 3.892 de impuestos y cargos	13 noches, 2 adultos	Formosa	2023-2-15	2023-2-28
