localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Albardón	Cabañas Solares del Villicum II	Apartamento entero, 2 dormitorios, 3 baños, 1 cocina, 80m²	9,7	Precio $ 431.086	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Cabaña Ohana-House	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 85m²	10	Precio $ 138.624	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Cabañas El Moscatel	Casa o chalet entero, 2 dormitorios, 1 baño, 54m²	NA	Precio $ 243.437	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Cabañas Solares del Villicum	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 11m²	9,9	Precio $ 312.608	+ $ 65.648 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Casa de Alquiler San Pío	Casa o chalet entero, 3 dormitorios, 1 baño, 1 cocina	NA	Precio $ 283.559	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Casa del Puente Albardon	Casa o chalet entero, 1 dormitorio, 4 baños	NA	Precio $ 646.628	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	ALTOS DE LA CAÑADA	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	8,3	Precio $ 154.965	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Cabañas de la bodega Romano-Pin	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 20m²	8,4	Precio $ 111.829	+ $ 34.667 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Granja Tía Nora	Casa o chalet entero, 2 dormitorios, 1 baño, 30m²	8,7	Precio $ 120.704	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Albardón	Ava albardon	Casa o chalet entero, 1 dormitorio, 1 baño, 50m²	NA	Precio $ 394.457	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Martín	El Algarrobo Casa de Campo	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 80m²	6,2	Precio $ 98.783	+ $ 9.878 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Complejo Don Tito	Apartamento entero, 2 dormitorios, 1 baño, 20m²	9,0	Precio $ 140.878	+ $ 29.584 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Santa Lucía	El Paraiso San Juan	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	NA	Precio $ 251.467	+ $ 1.761 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Alto de Sierra	Casa Quinta LaRural, equipada, calida, c/ pileta	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 293.026	+ $ 29.303 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	CASA FAMILIAR	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	8,0	Precio $ 293.026	+ $ 61.535 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Médanos Negros Departamentos	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 75m²	8,8	Precio $ 256.397	+ $ 55.604 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Departamento en San Juan	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	9,5	Precio original $ 157.783. Precio actual $ 142.005.	+ $ 29.821 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Casa en barrio privado para alquiler temporal	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	8,0	Precio $ 478.984	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Departamento amplio, muy bien ubicado, dos ambientes, separado cocina y baño, el barrio no es lindo pero las instalaciones perfectas y li	Apartamento entero, 2 dormitorios, 1 baño, 60m²	NA	Precio $ 569.991	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Rivadavia	CASA CON PILETA BARRIO PRIVADO SAN JUAN ARGENTINA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 50m²	10	Precio $ 101.770	+ $ 10.177 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Pequeña Allegra	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,6	Precio $ 101.432	+ $ 21.301 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Brisa del Valle	Casa o chalet entero, 3 dormitorios, 1 baño, 300m²	10	Precio $ 262.990	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	DepartamentoSarmiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 24m²	NA	Precio $ 112.702	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	Exclusivo Céntrico SJ Diseño y Confort	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 90m²	NA	Precio $ 268.231	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
San Juan	PORTAL DE LUZ	Casa o chalet entero, 3 dormitorios, 1 baño, 300m²	9,5	Precio $ 264.146	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	CostaMansa House, a orillas del Rio Paraguay	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 170m²	9,2	Precio original $ 294.153. Precio actual $ 208.358.	+ $ 20.836 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Terrazas Vista Verde		8,4	Precio original $ 132.002. Precio actual $ 124.677.	+ $ 12.468 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Gaúcho House		10	Precio $ 42.263	+ $ 4.226 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Casa el lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 250m²	NA	Precio $ 129.326	+ $ 12.933 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Casa en lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 200m²	NA	Precio $ 126.452	+ $ 12.645 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Departamentos - Alquileres Asunción	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,0	Precio $ 81.005	+ $ 8.100 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Villa Elisa	Agradable casa con piscina-Comfortable pool house	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 20m²	NA	Precio $ 481.802	+ $ 96.360 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Pequeño departamento	Apartamento entero, 1 dormitorio, 1 baño, 15m²	NA	Precio $ 70.439	+ $ 7.044 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Mi lugar Vintage		9,4	Precio $ 45.503	+ $ 4.550 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Apartamentos Victoria	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,5	Precio original $ 107.771. Precio actual $ 83.822.	+ $ 8.382 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Habitación en suite, Excelente Ubicación		8,9	Precio $ 67.058	+ $ 6.706 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Amplio Departamento 3 habitaciones, excelente ubicación	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina, 170m²	9,2	Precio $ 220.896	+ $ 22.090 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Pieza con aire y baño en asunción centro	Apartamento entero, 1 dormitorio, 1 baño, 90m²	NA	Precio $ 155.670	+ $ 15.567 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Costera	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 60m²	9,7	Precio $ 156.571	+ $ 15.657 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Fortaleza II	Apartamento entero, 1 dormitorio, 1 baño, 80m²	NA	Precio $ 95.797	+ $ 4.790 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Fortaleza II	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	7,0	Precio $ 95.797	+ $ 9.580 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Posada de la Luna		9,2	Precio $ 50.716	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Nobile Suites Excelsior Asuncion		8,0	Precio $ 149.612	+ $ 14.961 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	TOTO´S HOUSE	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 61.986	+ $ 7.431 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Lola’s home	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina	10	Precio $ 50.293	+ $ 6.262 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Hotel Amalfi		8,8	Precio $ 140.878	+ $ 14.088 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Amplio departamento recién renovado!!!!	Apartamento entero, 4 dormitorios, 4 baños, 1 cocina	9,5	Precio $ 155.670	+ $ 15.567 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Ross Char Hotel		9,5	Precio $ 162.890	+ $ 16.289 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Premier Hill Suites Hotel		6,9	Precio original $ 195.718. Precio actual $ 137.002.	+ $ 13.700 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Dorada		NA	Precio $ 84.527	+ $ 9.333 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Crowne Plaza Asunción, an IHG Hotel		7,9	Precio $ 203.427	+ $ 20.343 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Golden Room		NA	Precio $ 95.797	+ $ 16.095 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Villa Floreal Hotel Boutique		9,0	Precio original $ 281.755. Precio actual $ 197.229.	+ $ 19.723 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Hotel Cecilia		8,4	Precio $ 189.100	+ $ 18.910 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Edificio Columbia	Apartamento entero, 2 dormitorios, 2 baños, 100m²	NA	Precio $ 140.878	+ $ 14.088 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Giuseppe Suites Hotel		8,9	Precio $ 92.979	+ $ 9.298 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Sabe Center	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 65m²	9,6	Precio $ 128.480	+ $ 12.848 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Próximo al Centro de Asunción a Estrenar	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 49m²	NA	Precio $ 131.721	+ $ 13.172 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Downtown Room	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 50m²	5,5	Precio $ 70.439	+ $ 7.044 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Hotel Guarani Asuncion		8,4	Precio $ 249.663	+ $ 24.966 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Violeta Roga	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina	9,0	Precio $ 98.614	+ $ 12.503 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Taguato B & B		9,6	Precio $ 77.088	+ $ 7.533 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Hotel Palmas del Sol		7,8	Precio $ 91.479	+ $ 9.148 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Andares del Agua		8,7	Precio $ 207.935	+ $ 20.794 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Hermoso Depto con Piscina en Calle Palma Asunción	Apartamento entero, 3 dormitorios, 3 baños	10	Precio $ 179.140	+ $ 17.914 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Palmaroga Hotel		9,2	Precio $ 294.609	+ $ 29.461 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Asuncion Palace		8,8	Precio $ 137.947	+ $ 13.795 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Villamorra el corazón de Asunción	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	10	Precio original $ 126.790. Precio actual $ 120.450.	+ $ 15.567 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Apartamento minimalista zona de shoppings 1D015	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 42m²	1,0	Precio $ 156.374	+ $ 36.118 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Marquis Villa Morra 5E	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 47m²	NA	Precio $ 143.695	+ $ 47.951 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Apartment in Asunción	Apartamento entero, 2 dormitorios, 2 baños, 80m²	NA	Precio $ 101.770	+ $ 10.177 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Asuncion Rent Suites Centro	Estudio entero, 1 baño, 1 cocina, 42m²	8,8	Precio $ 123.178	+ $ 12.318 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
Asunción	Circo Hostel	Habitación compartida	7,3	Precio $ 74.665	+ $ 7.467 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-7-15	2023-7-31
