localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Albardón	Cabañas Solares del Villicum II	Apartamento entero, 2 dormitorios, 3 baños, 1 cocina, 80m²	9,7	Precio $ 377.200	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Cabaña Ohana-House	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 85m²	10	Precio $ 121.296	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Cabañas El Moscatel	Casa o chalet entero, 2 dormitorios, 1 baño, 54m²	NA	Precio $ 213.007	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Cabañas Solares del Villicum	Casa o chalet entero, 2 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 11m²	9,9	Precio $ 273.532	+ $ 57.442 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Casa de Alquiler San Pío	Casa o chalet entero, 3 dormitorios, 1 baño, 1 cocina	NA	Precio $ 248.114	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	ALTOS DE LA CAÑADA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 50m²	8,3	Precio $ 123.268	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	casa chalet santa rosa	Casa o chalet entero, 4 dormitorios, 5 baños, 650m²	10	Precio $ 819.732	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Cabañas de la bodega Romano-Pin	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 20m²	8,4	Precio $ 97.850	+ $ 30.334 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Granja Tía Nora	Casa o chalet entero, 2 dormitorios, 1 baño, 30m²	8,7	Precio $ 105.616	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Albardón	Ava albardon	Casa o chalet entero, 1 dormitorio, 1 baño, 50m²	NA	Precio $ 345.150	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Martín	El Algarrobo Casa de Campo	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 80m²	6,2	Precio $ 86.435	+ $ 8.644 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	Complejo Don Tito	Apartamento entero, 2 dormitorios, 1 baño, 20m²	9,0	Precio $ 123.268	+ $ 25.886 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Santa Lucía	El Paraiso San Juan	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	NA	Precio $ 220.033	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Alto de Sierra	Casa Quinta LaRural, equipada, calida, c/ pileta	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 251.467	+ $ 25.147 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	CASA FAMILIAR	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	8,0	Precio $ 260.624	+ $ 54.731 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	Médanos Negros Departamentos	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 75m²	8,8	Precio $ 224.348	+ $ 48.874 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	Departamento en San Juan	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	9,5	Precio original $ 138.060. Precio actual $ 124.254.	+ $ 26.093 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	Casa en barrio privado para alquiler temporal	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	8,0	Precio $ 419.111	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
San Juan	Departamento amplio, muy bien ubicado, dos ambientes, separado cocina y baño, el barrio no es lindo pero las instalaciones perfectas y li	Apartamento entero, 2 dormitorios, 1 baño, 60m²	NA	Precio $ 498.742	Incluye impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
Rivadavia	CASA CON PILETA BARRIO PRIVADO SAN JUAN ARGENTINA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 50m²	10	Precio $ 89.049	+ $ 8.905 de impuestos y cargos	14 noches, 2 adultos	Formosa	2023-5-1	2023-5-15
