localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Albardón	Cabaña Ohana-House	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 85m²	10	Precio $ 181.943	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Albardón	Cabañas El Moscatel	Casa o chalet entero, 2 dormitorios, 1 baño, 54m²	NA	Precio $ 243.437	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Albardón	Casa de Alquiler San Pío	Casa o chalet entero, 3 dormitorios, 1 baño, 1 cocina	NA	Precio $ 283.559	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Albardón	Casa del Puente Albardon	Casa o chalet entero, 1 dormitorio, 4 baños	NA	Precio $ 646.628	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Albardón	ALTOS DE LA CAÑADA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 50m²	8,3	Precio $ 154.965	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Albardón	Cabañas de la bodega Romano-Pin	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 20m²	8,4	Precio $ 129.044	+ $ 40.004 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Albardón	Ava albardon	Casa o chalet entero, 1 dormitorio, 1 baño, 50m²	NA	Precio $ 394.457	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Martín	El Algarrobo Casa de Campo	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 80m²	6,2	Precio $ 98.783	+ $ 9.878 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Santa Lucía	El Paraiso San Juan	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	NA	Precio $ 251.467	+ $ 1.761 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Alto de Sierra	Casa Quinta LaRural, equipada, calida, c/ pileta	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 100m²	NA	Precio $ 288.095	+ $ 28.809 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	CASA FAMILIAR	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina	8,0	Precio $ 293.026	+ $ 61.535 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Casa en barrio privado para alquiler temporal	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina	8,0	Precio $ 478.984	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Departamento amplio, muy bien ubicado, dos ambientes, separado cocina y baño, el barrio no es lindo pero las instalaciones perfectas y li	Apartamento entero, 2 dormitorios, 1 baño, 60m²	NA	Precio $ 569.991	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Rivadavia	CASA CON PILETA BARRIO PRIVADO SAN JUAN ARGENTINA	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 50m²	10	Precio $ 101.770	+ $ 10.177 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Pequeña Allegra	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,6	Precio $ 101.432	+ $ 21.301 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Brisa del Valle	Casa o chalet entero, 3 dormitorios, 1 baño, 300m²	10	Precio $ 262.990	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	DepartamentoSarmiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 24m²	NA	Precio $ 112.702	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Exclusivo Céntrico SJ Diseño y Confort	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 90m²	NA	Precio $ 268.231	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	PORTAL DE LUZ	Casa o chalet entero, 3 dormitorios, 1 baño, 300m²	9,5	Precio $ 264.146	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Departamento a 700 metros centro de san juan	Apartamento entero, 1 dormitorio, 2 baños, 1 cocina, 110m²	NA	Precio $ 191.594	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Casa Grande con estacionamiento	Casa o chalet entero, 5 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 250m²	9,7	Precio $ 251.467	+ $ 52.808 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Moto Hostel San Juan		10	Precio original $ 112.702. Precio actual $ 101.432.	+ $ 21.301 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Departamento san Juan	Apartamento entero, 1 dormitorio, 1 baño, 30m²	7,5	Precio $ 95.797	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Dominguito departamentos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	7,4	Precio $ 101.432	+ $ 21.301 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
San Juan	Departamento Alquiler Diario	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,9	Precio $ 140.117	Incluye impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	CostaMansa House, a orillas del Rio Paraguay	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 170m²	9,2	Precio original $ 294.153. Precio actual $ 208.358.	+ $ 20.836 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Terrazas Vista Verde		8,4	Precio original $ 132.002. Precio actual $ 124.677.	+ $ 12.468 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Gaúcho House		10	Precio $ 42.263	+ $ 4.226 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Casa el lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 250m²	NA	Precio $ 129.326	+ $ 12.933 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Casa en lambare	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 3 baños, 200m²	NA	Precio $ 126.452	+ $ 12.645 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Departamentos - Alquileres Asunción	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	9,0	Precio $ 81.005	+ $ 8.100 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Villa Elisa	Agradable casa con piscina-Comfortable pool house	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 20m²	NA	Precio $ 481.802	+ $ 96.360 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Departamento entero	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 32m²	9,0	Precio $ 84.527	+ $ 8.453 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Pequeño departamento	Apartamento entero, 1 dormitorio, 1 baño, 15m²	NA	Precio $ 70.439	+ $ 7.044 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Mi lugar Vintage		9,4	Precio $ 45.503	+ $ 4.550 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Apartamentos Victoria	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	9,5	Precio original $ 107.771. Precio actual $ 83.822.	+ $ 8.382 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Habitación en suite, Excelente Ubicación		8,9	Precio $ 67.058	+ $ 6.706 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Amplio Departamento 3 habitaciones, excelente ubicación	Apartamento entero, 3 dormitorios, 1 baño, 1 cocina, 170m²	9,2	Precio $ 220.896	+ $ 22.090 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Pieza con aire y baño en asunción centro	Apartamento entero, 1 dormitorio, 1 baño, 90m²	NA	Precio $ 155.670	+ $ 15.567 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Das Heim Hotel		7,3	Precio $ 154.965	+ $ 15.497 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Costera	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 60m²	9,7	Precio $ 156.571	+ $ 15.657 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Fortaleza II	Apartamento entero, 1 dormitorio, 1 baño, 80m²	NA	Precio $ 95.797	+ $ 4.790 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
Asunción	Fortaleza II	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	7,0	Precio $ 95.797	+ $ 9.580 de impuestos y cargos	16 noches, 2 adultos	Formosa	2023-10-15	2023-10-31
