localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 110.941	+ $ 23.298 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Libertador General San Martín	Hosteria-Spa Posada del Sol		8,9	Precio $ 246.536	+ $ 51.773 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Libertador General San Martín	Hospedaje El Turista.	Apartamento entero, 1 dormitorio, 1 baño, 38m²	8,5	Precio $ 188.600	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Libertador General San Martín	Hospedaje Turisticos.		7,1	Precio $ 73.344	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Milfreda	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 120m²	8,8	Precio $ 419.111	+ $ 88.013 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	La Hoyada	Apartamento entero, 3 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 300m²	8,9	Precio $ 764.261	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	BELLA VISTA TILCARA		8,0	Precio $ 209.556	+ $ 44.007 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	El Valle	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 18m²	8,9	Precio $ 233.329	+ $ 48.999 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cabañas Malka	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 80m²	8,9	Precio $ 876.928	+ $ 184.155 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	El Convento de Tilcara	2 camas en habitación compartida	8,4	Precio $ 107.046	+ $ 22.480 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	flor del tilcara		NA	Precio $ 88.013	+ $ 18.483 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Huacalera	Posada Huacalera (Tropico de Capricornio)	Casa o chalet entero, 4 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 130m²	9,0	Precio $ 319.511	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Huacalera	El Cardon Hospedaje		8,2	Precio $ 147.922	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Villa del Cielo		8,9	Precio $ 425.595	+ $ 89.375 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hosteria La Estacion		8,7	Precio $ 239.633	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Alas del Alma		8,1	Precio $ 345.150	+ $ 72.482 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Glamping El Obrador Tilcara		8,7	Precio $ 167.644	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Las Terrazas Hotel Boutique		8,8	Precio $ 476.776	+ $ 100.123 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	flor del tilcara		NA	Precio $ 88.013	+ $ 18.483 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Patio Chikan		7,3	Precio $ 189.833	+ $ 39.865 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hostel Waira		7,9	Precio $ 216.952	+ $ 45.560 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cerro Negro Hostal		7,8	Precio $ 159.643	+ $ 33.525 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 172.575	+ $ 36.241 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Pueblo Indio		7,8	Precio $ 271.189	+ $ 56.950 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	LA FLORITA	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	9,6	Precio $ 320.497	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	NA	Precio $ 406.784	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Tierra Andina Hostal y Cabañas	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 20m²	7,8	Precio $ 331.239	+ $ 69.190 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Carnavalito Hostel Tilcara		8,0	Precio $ 160.248	+ $ 33.652 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cabañas Tilcara Mia	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	7,8	Precio $ 419.111	+ $ 89.774 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hotel Norte Rupestre		7,6	Precio $ 423.302	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 167.644	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Los Amarantos	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 21m²	9,1	Precio $ 281.403	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	BELLA VISTA TILCARA		8,0	Precio $ 209.556	+ $ 44.007 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Patio Alto		8,9	Precio $ 386.568	+ $ 81.179 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	La Casa de los Molles	Casa o chalet entero, 3 dormitorios, 2 baños, 1 cocina, 100m²	9,8	Precio $ 304.472	+ $ 63.495 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hosteria Tia Maria		NA	Precio original $ 279.572. Precio actual $ 223.657.	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cabañas Santa Catalina	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	7,9	Precio $ 307.677	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	La Casa de Fede		6,8	Precio $ 105.764	+ $ 22.210 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Tilcara Casa con 3 dorm y parrilla Pedacito de Cielo Cocina	Casa o chalet entero, 3 dormitorios, 2 salas de estar, 1 baño, 1 cocina, 85m²	9,3	Precio $ 410.306	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cabañas La rueda	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 20m²	8,6	Precio $ 238.523	+ $ 50.090 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cielo de Tierra 2 - Un balcón a los cerros		10	Precio $ 295.843	+ $ 62.127 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Tierra Andina Hostel		8,1	Precio original $ 295.843. Precio actual $ 236.674.	+ $ 49.702 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hosteria Las Tinajas		8,2	Precio $ 308.170	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	El Valle	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 18m²	8,9	Precio $ 233.329	+ $ 48.999 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hostería el Sol Naciente		7,5	Precio $ 202.159	+ $ 42.453 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	La Hoyada	Apartamento entero, 3 dormitorios, 2 salas de estar, 2 baños, 1 cocina, 300m²	8,9	Precio $ 764.261	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Milfreda	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 120m²	8,8	Precio $ 419.111	+ $ 88.013 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cielo de Tierra 1: Balcón a los molles	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 50m²	9,0	Precio $ 320.497	+ $ 67.304 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	La Colorada Hostal		9,7	Precio $ 246.536	+ $ 51.773 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Mirá el cardón!	Casa o chalet entero, 1 dormitorio, 1 baño, 140m²	8,5	Precio $ 419.111	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Casas de Juella	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	8,7	Precio $ 258.863	+ $ 54.361 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Casa en el centro de Tilcara	Casa o chalet entero, 4 dormitorios, 3 baños	9,8	Precio $ 859.178	+ $ 180.427 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	El Rancho	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,0	Precio $ 369.804	+ $ 77.659 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cabañas Malka	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 3 baños, 1 cocina, 80m²	8,9	Precio $ 876.928	+ $ 184.155 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	EL HOGAR DE TITA	Casa o chalet entero, 3 dormitorios, 2 baños, 1 cocina, 600m²	NA	Precio $ 733.444	+ $ 154.023 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	CASA SAMAÑA		NA	Precio $ 282.900	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Casona Inkill Huasi II	Casa o chalet entero, 3 dormitorios, 1 baño, 100m²	NA	Precio $ 500.838	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Gustavito Servicio de Alojamiento	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 26m²	8,0	Precio $ 1.047.778	+ $ 220.033 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	El Convento de Tilcara	2 camas en habitación compartida	8,4	Precio $ 107.046	+ $ 22.480 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Casa Colores	2 camas en habitación compartida	9,2	Precio $ 89.739	+ $ 18.845 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Hosteria Tia Maria		NA	Precio original $ 279.572. Precio actual $ 223.657.	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	Cabañas Santa Catalina	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	7,9	Precio $ 307.677	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	La Casa de Fede		6,8	Precio $ 105.764	+ $ 22.210 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Del Amauta Hosteria		8,0	Precio $ 443.765	+ $ 93.191 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Cabañas Sol y Luna	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 72m²	7,4	Precio $ 362.432	+ $ 76.111 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Pirca del Abuelo II	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño	8,8	Precio $ 271.189	+ $ 56.950 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	samaywasi		7,7	Precio $ 355.012	+ $ 74.552 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Cactus y Almacen - Purmamarca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 12m²	8,4	Precio $ 251.467	+ $ 52.808 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Las Vicuñas Departamentos	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 60m²	8,5	Precio $ 643.459	+ $ 135.126 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Chilcagua	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 140m²	9,1	Precio $ 541.023	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Estancia El Mulato		NA	Precio $ 311.720	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Los Agustinos		8,3	Precio $ 318.031	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Casita de Purmamarca	Villa entera, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 150m²	9,3	Precio $ 594.719	+ $ 124.891 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Purmamarca	Hostería Aguas Coloradas		8,1	Precio $ 640.993	+ $ 134.609 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Cabañas Otro Mundo - Finca Otro Mundo	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	9,1	Precio $ 369.804	+ $ 77.659 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Cabañas Paqa Paqa	Apartamento privado, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	7,9	Precio original $ 355.012. Precio actual $ 319.511.	+ $ 68.858 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	mirapampa	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	10	Precio $ 176.347	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Cabañas Maimará	Apartamento privado, 1 dormitorio, 1 baño, 1 cocina, 20m²	8,9	Precio $ 221.882	+ $ 46.595 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Hosteria Maimará		9,2	Precio original $ 419.111. Precio actual $ 335.289.	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Misky Kucho (dulce rincon)	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 2 baños, 1 cocina, 60m²	9,7	Precio $ 301.760	+ $ 63.370 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Ayrampo en Flor		NA	Precio $ 94.300	+ $ 19.803 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Ruphay: Cabaña equipada con vista a los cerros en el campo	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 22m²	9,0	Precio $ 197.229	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Casa Munay		NA	Precio $ 160.248	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	La Paleta del Pintor		9,6	Precio $ 300.774	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 220.033	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	El Balcón de Sumaj		8,9	Precio $ 175.040	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	Lassaletta arte	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 65m²	8,7	Precio $ 301.760	+ $ 63.370 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Maimará	La casa del pintor	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 390m²	5,5	Precio original $ 579.359. Precio actual $ 443.210.	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
Tilcara	El Rancho	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	9,0	Precio $ 369.804	+ $ 77.659 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-2-1	2023-2-15
