localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 110.941	+ $ 23.298 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Libertador General San Martín	Hospedaje El Turista.	Apartamento entero, 1 dormitorio, 1 baño, 38m²	8,5	Precio $ 177.506	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Libertador General San Martín	Hospedaje Turisticos.		7,1	Precio $ 73.344	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 204.132	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 64.124	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 640.993	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 247.867	+ $ 52.052 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	flor del tilcara		NA	Precio $ 80.149	+ $ 16.831 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 75.440	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Huacalera	Hosteria la granja		7,8	Precio $ 110.941	+ $ 25.059 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Huacalera	Hotel Huacalera		8,5	Precio $ 458.028	+ $ 96.186 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	flor del tilcara		NA	Precio $ 80.149	+ $ 16.831 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	Glamping El Obrador Tilcara		8,7	Precio $ 182.437	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	LOS LILOS - Otros Aires	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 21m²	8,6	Precio $ 199.694	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	El Shaddai		8,8	Precio $ 172.575	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 172.575	+ $ 36.241 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
Tilcara	Tierra Andina Hostal y Cabañas		7,8	Precio $ 256.397	+ $ 53.474 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-7-1	2023-7-15
