localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 110.941	+ $ 23.298 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Libertador General San Martín	Hospedaje El Turista.	Apartamento entero, 1 dormitorio, 1 baño, 38m²	8,5	Precio $ 177.506	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Libertador General San Martín	Hospedaje Turisticos.		7,1	Precio $ 73.344	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 183.719	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 64.124	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 247.867	+ $ 52.052 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	flor del tilcara		NA	Precio $ 80.149	+ $ 16.831 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Huacalera	Hosteria la granja		7,8	Precio $ 110.941	+ $ 25.059 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	flor del tilcara		NA	Precio $ 80.149	+ $ 16.831 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Cabañas Violeta Tilcara		9,0	Precio original $ 147.922. Precio actual $ 125.733.	+ $ 26.404 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Glamping El Obrador Tilcara		8,7	Precio $ 164.299	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 201.455	+ $ 42.306 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	NA	Precio $ 431.438	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	La Casita	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 20m²	8,8	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 247.867	+ $ 52.052 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Cabañas Santa Catalina	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	7,9	Precio $ 185.888	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tierra Andina Hostal y Cabañas		7,8	Precio $ 228.222	+ $ 47.557 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Hosteria Tia Maria		NA	Precio original $ 279.572. Precio actual $ 223.657.	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Cerro Amarillo, Cabaña de Juella	Casa o chalet entero, 2 dormitorios, 1 baño, 40m²	8,4	Precio $ 98.614	+ $ 20.709 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tierra Andina Hostel		8,1	Precio $ 308.170	+ $ 64.716 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tierra Andina House		7,2	Precio $ 212.466	+ $ 44.618 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	EL HOGAR DE TITA	Casa o chalet entero, 3 dormitorios, 2 baños, 1 cocina, 600m²	NA	Precio $ 733.444	+ $ 154.023 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 220.033	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Juella	La Nochera	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 54m²	10	Precio $ 319.511	+ $ 31.951 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Huacalera	Hosteria la granja		7,8	Precio $ 110.941	+ $ 25.059 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 220.033	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Cabañas Violeta Tilcara		9,0	Precio original $ 147.922. Precio actual $ 125.733.	+ $ 26.404 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Glamping El Obrador Tilcara		8,7	Precio $ 164.299	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 201.455	+ $ 42.306 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tierra Andina Hostal y Cabañas		7,8	Precio $ 228.222	+ $ 47.557 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	NA	Precio $ 431.438	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	La Casita	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 20m²	8,8	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	El Convento de Tilcara		8,4	Precio $ 247.867	+ $ 52.052 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Cabañas Santa Catalina	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	7,9	Precio $ 185.888	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Hosteria Tia Maria		NA	Precio original $ 279.572. Precio actual $ 223.657.	Incluye impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tierra Andina Hostel		8,1	Precio $ 308.170	+ $ 64.716 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	Tierra Andina House		7,2	Precio $ 212.466	+ $ 44.618 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Tilcara	EL HOGAR DE TITA	Casa o chalet entero, 3 dormitorios, 2 baños, 1 cocina, 600m²	NA	Precio $ 733.444	+ $ 154.023 de impuestos y cargos	14 noches, 2 adultos	Jujuy	2023-5-1	2023-5-15
Salta	Géminis Departamento	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 56.999	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	La abue depto	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 71.249	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	EN EL CORAZON DE SALTA PASADO PRESENTE Y FUTURO	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina, 140m²	8,0	Precio $ 142.991	+ $ 4.931 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	BALCONES VERDES 2105	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños	NA	Precio $ 254.820	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	VIRGILIO TEDIN		NA	Precio $ 82.442	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Apartamento Alicia	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 58m²	NA	Precio $ 110.941	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Monoambiente Pueyrredón	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 54.484	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	TERRA VILLAGE	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 65m²	8,7	Precio $ 142.283	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Deluxe Reyes Católicos	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 120m²	10	Precio original $ 409.866. Precio actual $ 368.867.	+ $ 77.462 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Paseo de los Poetas Premium	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	9,6	Precio $ 220.033	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Dpto Tres Cerritos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 53.449	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Mercedes III	Apartamento entero, 1 dormitorio, 1 baño, 35m²	9,0	Precio $ 110.941	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hotel Boutique La Candela		8,4	Precio $ 345.150	+ $ 72.482 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Casa con impresionante vista	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 120m²	NA	Precio original $ 100.587. Precio actual $ 80.469.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Shoping Alto Noa	Apartamento entero, 2 dormitorios, 1 baño	NA	Precio $ 85.499	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Avellanos house.	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 75m²	4,0	Precio $ 95.557	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	AIRES VERDES PREMIUM	Apartamento entero, 1 dormitorio, 1 cocina, 35m²	9,8	Precio original $ 223.643. Precio actual $ 201.279.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	La Cara Oculta de Salta, bed and breakfast		10	Precio $ 115.256	+ $ 24.204 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	DEPARTAMENTO LA GAVIOTA	Apartamento entero, 1 dormitorio, 2 baños, 60m²	10	Precio $ 142.991	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Ferienhaus Hostel Salta		8,4	Precio $ 98.664	+ $ 20.719 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
