localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 126.790	+ $ 26.626 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Libertador General San Martín	Hospedaje Turisticos.		7,1	Precio $ 83.315	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 16.330.538	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 73.285	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 732.564	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	El Sueñero	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 56m²	9,4	Precio $ 108.729	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	El Convento de Tilcara		8,4	Precio $ 283.277	+ $ 59.488 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	flor del tilcara		NA	Precio $ 91.599	+ $ 19.236 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 86.217	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Huacalera	Cabañas Tierra Hermosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,6	Precio $ 134.116	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Huacalera	Hosteria la granja		7,8	Precio $ 126.790	+ $ 28.387 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	flor del tilcara		NA	Precio $ 91.599	+ $ 19.236 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	El Shaddai		8,8	Precio $ 140.878	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 135.595	+ $ 28.475 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Tierra Andina Hostal y Cabañas		7,8	Precio $ 211.316	+ $ 44.007 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	El Sueñero	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 56m²	9,4	Precio $ 108.729	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	El Ensueño	Casa o chalet entero, 3 dormitorios, 1 baño, 1 cocina, 150m²	NA	Precio $ 478.984	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 119.746	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 86.217	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	El Convento de Tilcara		8,4	Precio $ 283.277	+ $ 59.488 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Cabañas Santa Catalina	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	7,9	Precio $ 212.444	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Hosteria Tia Maria		NA	Precio original $ 319.511. Precio actual $ 255.608.	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	La Quebrada Enigmática. Arte, mística e historia	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,3	Precio original $ 478.984. Precio actual $ 407.136.	+ $ 85.499 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Tierra Andina Hostel		8,1	Precio $ 241.253	+ $ 50.663 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Tilcara	Tierra Andina House		7,2	Precio $ 203.568	+ $ 42.749 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Maimará	El Balcón de Sumaj		8,9	Precio $ 146.513	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 251.467	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Maimará	Ayrampo en Flor		NA	Precio $ 86.217	+ $ 18.106 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Maimará	Dormir con llamas	Chalet de montaña entero, 1 dormitorio, 1 baño, 20m²	10	Precio $ 131.721	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 732.564	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Huacalera	Cabañas Tierra Hermosa	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,6	Precio $ 134.116	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Huacalera	Hosteria la granja		7,8	Precio $ 126.790	+ $ 28.387 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Purmamarca	Estancia El Mulato		NA	Precio $ 376.594	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Purmamarca	Lo del Chango	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina	9,2	Precio $ 570.555	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Purmamarca	Casita de Purmamarca	Villa entera, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 150m²	9,3	Precio $ 576.697	+ $ 121.106 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Purmamarca	Estancia El Mulato		NA	Precio $ 376.594	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Purmamarca	Lo del Chango	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina	9,2	Precio $ 570.555	Incluye impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
Purmamarca	Casita de Purmamarca	Villa entera, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 150m²	9,3	Precio $ 576.697	+ $ 121.106 de impuestos y cargos	16 noches, 2 adultos	Jujuy	2023-10-15	2023-10-31
