localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 120.457	+ $ 25.296 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Libertador General San Martín	Hospedaje Turisticos.		7,2	Precio $ 79.154	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 15.514.885	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 69.624	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 695.975	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Sueñero	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 56m²	9,4	Precio $ 103.299	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Convento de Tilcara		8,4	Precio $ 265.969	+ $ 55.854 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	flor del tilcara		10	Precio $ 86.006	+ $ 18.061 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 81.911	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Casa Pachamama	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 60m²	NA	Precio $ 250.283	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Huacalera	CabañaPerchel Tilcara Quebrada de Humahuaca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 108.867	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Huacalera	Hosteria la granja		7,8	Precio $ 120.457	+ $ 27.081 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Tilcara Mistica Hostel		7,9	Precio $ 96.794	+ $ 20.327 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Departamento UNO TILCARA	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,4	Precio $ 143.114	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Tierra Andina Hostal y Cabañas		7,8	Precio $ 204.153	+ $ 42.497 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 81.911	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Shaddai		8,2	Precio $ 133.841	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Tilcara Rustica Hostel		7,7	Precio $ 138.303	+ $ 29.044 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	flor del tilcara		10	Precio $ 86.006	+ $ 18.061 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Casa de Barro Tilcara	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 120m²	9,0	Precio $ 240.914	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Casa Pachamama	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 60m²	NA	Precio $ 250.283	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Casa en Tilcara con hermosa galería	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 1 baño, 50m²	9,5	Precio $ 225.255	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Balcon de Tilcara	Casa o chalet entero, 2 dormitorios, 1 sala de estar, 2 baños	NA	Precio $ 237.782	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Hospedaje Fortaleza Indigena		6,7	Precio $ 113.765	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Cabañas Santa Catalina	Apartamento privado, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 40m²	7,9	Precio $ 201.833	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Sueñero	Chalet de montaña entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 56m²	9,4	Precio $ 103.299	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Ensueño	Casa o chalet entero, 3 dormitorios, 1 baño, 1 cocina, 150m²	10	Precio $ 455.060	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	El Convento de Tilcara		8,4	Precio $ 265.969	+ $ 55.854 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Tierra Andina Hostel		8,1	Precio $ 214.146	+ $ 44.971 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Hosteria Tia Maria		NA	Precio $ 303.552	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	casa 2 pisos	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño	NA	Precio $ 243.350	+ $ 51.104 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	La Quebrada Enigmática. Arte, mística e historia	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 50m²	9,3	Precio original $ 508.597. Precio actual $ 432.307.	+ $ 90.785 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Tilcara	Tierra Andina House		7,2	Precio $ 208.869	+ $ 43.863 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	TERRAZAS	Apartamento entero, 1 dormitorio, 1 baño	NA	Precio $ 56.883	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	El Balcón de Sumaj		8,9	Precio $ 139.195	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 238.907	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	Munay ki		NA	Precio $ 38.680	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	Ayrampo en Flor		NA	Precio $ 81.911	+ $ 17.201 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	Dormir con llamas	Chalet de montaña entero, 1 dormitorio, 1 baño, 20m²	10	Precio $ 125.142	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	Munai ki		NA	Precio $ 58.034	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 695.975	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Huacalera	CabañaPerchel Tilcara Quebrada de Humahuaca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 108.867	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Huacalera	Hosteria la granja		7,8	Precio $ 120.457	+ $ 27.081 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Purmamarca	Hotel El Manantial del Silencio		8,5	Precio $ 1.216.751	+ $ 255.518 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Purmamarca	Estancia El Mulato		NA	Precio $ 357.785	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
Purmamarca	Lo del Chango	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina	9,2	Precio $ 542.057	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-11-15	2023-11-30
