localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Calilegua	Benitez Hostería		8,2	Precio $ 120.457	+ $ 25.296 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Libertador General San Martín	Hospedaje Turisticos.		7,2	Precio $ 79.154	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Libertador General San Martín	Depto centro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 24m²	10	Precio $ 15.514.885	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Libertador General San Martín	Altos de Ledesma	Apartamento entero, 1 dormitorio, 1 baño	8,3	Precio $ 69.624	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 695.975	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Tilcara	El Convento de Tilcara		8,4	Precio $ 265.969	+ $ 55.854 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Tilcara	flor del tilcara		10	Precio $ 86.006	+ $ 18.061 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Tilcara	Cabaña Paloma	Apartamento entero, 1 dormitorio, 1 baño	8,0	Precio $ 81.911	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Tilcara	Casa Pachamama	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 60m²	NA	Precio $ 245.733	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Huacalera	CabañaPerchel Tilcara Quebrada de Humahuaca	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 45m²	NA	Precio $ 108.867	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Huacalera	Hosteria la granja		7,8	Precio $ 120.457	+ $ 27.081 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Purmamarca	Hotel El Manantial del Silencio		8,5	Precio $ 818.547	+ $ 171.895 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Purmamarca	Estancia El Mulato		NA	Precio $ 357.785	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Purmamarca	Lo del Chango	Apartamento entero, 3 dormitorios, 2 baños, 1 cocina	9,2	Precio $ 542.057	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Purmamarca	Casita de Purmamarca	Villa entera, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 150m²	9,3	Precio $ 547.893	+ $ 115.057 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	Finca La Candelaria	Casa o chalet entero, 3 dormitorios, 3 baños, 200m²	NA	Precio $ 695.975	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	Dormir con llamas	Chalet de montaña entero, 1 dormitorio, 1 baño, 20m²	10	Precio $ 125.142	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	Munai ki		NA	Precio $ 58.034	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	Munay ki		NA	Precio $ 38.680	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	Ayrampo en Flor		NA	Precio $ 81.911	+ $ 17.201 de impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
Maimará	JN ALQUILERES	Casa o chalet entero, 2 dormitorios, 1 baño	NA	Precio $ 238.907	Incluye impuestos y cargos	15 noches, 2 adultos	Jujuy	2023-9-15	2023-9-30
